client_id,date,feedback_text
C0220,2026-04-17,The platform is too complex for our team to adopt fully.
C0220,2026-04-26,We're evaluating competitor tools because key features are missing.
C0221,2026-06-10,"We've had repeated bugs in the reporting module, frustrating."
C0222,2026-04-21,"The team loves the new dashboard, really improved our workflow."
C0223,2026-05-14,"We've had repeated bugs in the reporting module, frustrating."
C0224,2026-05-26,Onboarding was smooth and the product fits our needs well.
C0224,2026-01-21,"Great support response time, issue resolved quickly."
C0225,2026-01-10,Support has been slow to respond to our last three tickets.
C0226,2026-01-04,Support has been slow to respond to our last three tickets.
C0226,2026-03-13,Support has been slow to respond to our last three tickets.
C0227,2026-02-07,"The team loves the new dashboard, really improved our workflow."
C0227,2026-03-22,Onboarding was smooth and the product fits our needs well.
C0227,2026-04-26,We're expanding usage across more departments this quarter.
C0228,2026-02-21,We're expanding usage across more departments this quarter.
C0229,2026-03-15,The platform is too complex for our team to adopt fully.
C0229,2026-06-02,We're evaluating competitor tools because key features are missing.
C0230,2026-05-18,Onboarding was smooth and the product fits our needs well.
C0230,2026-02-19,"The team loves the new dashboard, really improved our workflow."
C0230,2026-03-03,Onboarding was smooth and the product fits our needs well.
C0231,2026-03-13,"The team loves the new dashboard, really improved our workflow."
C0232,2026-05-20,"Great support response time, issue resolved quickly."
C0232,2026-02-20,We're expanding usage across more departments this quarter.
C0232,2026-03-23,"The team loves the new dashboard, really improved our workflow."
C0233,2026-04-03,Onboarding was smooth and the product fits our needs well.
C0233,2026-02-12,We're expanding usage across more departments this quarter.
C0234,2026-02-17,Support has been slow to respond to our last three tickets.
C0234,2026-02-04,Support has been slow to respond to our last three tickets.
C0235,2026-01-15,"Great support response time, issue resolved quickly."
C0235,2026-04-17,"The team loves the new dashboard, really improved our workflow."
C0236,2026-06-28,We're expanding usage across more departments this quarter.
C0237,2026-02-25,Onboarding was smooth and the product fits our needs well.
C0237,2026-05-22,"The team loves the new dashboard, really improved our workflow."
C0237,2026-02-24,"Great support response time, issue resolved quickly."
C0238,2026-01-01,The platform is too complex for our team to adopt fully.
C0239,2026-01-11,The platform is too complex for our team to adopt fully.
C0239,2026-01-04,We're evaluating competitor tools because key features are missing.
C0240,2026-01-19,Onboarding was smooth and the product fits our needs well.
C0240,2026-06-07,Onboarding was smooth and the product fits our needs well.
C0240,2026-02-07,Onboarding was smooth and the product fits our needs well.
C0241,2026-04-22,Onboarding was smooth and the product fits our needs well.
C0241,2026-03-05,"The team loves the new dashboard, really improved our workflow."
C0242,2026-05-18,"The team loves the new dashboard, really improved our workflow."
C0243,2026-05-11,Onboarding was smooth and the product fits our needs well.
C0243,2026-02-23,Onboarding was smooth and the product fits our needs well.
C0243,2026-05-08,Onboarding was smooth and the product fits our needs well.
C0244,2026-05-15,Onboarding was smooth and the product fits our needs well.
C0245,2026-06-02,We're evaluating competitor tools because key features are missing.
C0246,2026-04-13,"The team loves the new dashboard, really improved our workflow."
C0247,2026-05-12,We're expanding usage across more departments this quarter.
C0248,2026-06-25,"Great support response time, issue resolved quickly."
C0248,2026-04-19,"The team loves the new dashboard, really improved our workflow."
C0249,2026-01-15,We're expanding usage across more departments this quarter.
C0250,2026-04-08,We're expanding usage across more departments this quarter.
C0250,2026-02-28,"Great support response time, issue resolved quickly."
C0251,2026-04-06,Onboarding was smooth and the product fits our needs well.
C0251,2026-03-15,Onboarding was smooth and the product fits our needs well.
C0251,2026-01-03,We're expanding usage across more departments this quarter.
C0252,2026-04-28,We're expanding usage across more departments this quarter.
C0252,2026-03-25,"Great support response time, issue resolved quickly."
C0253,2026-05-04,"Great support response time, issue resolved quickly."
C0253,2026-06-26,We're expanding usage across more departments this quarter.
C0254,2026-03-18,"The team loves the new dashboard, really improved our workflow."
C0255,2026-02-20,We're evaluating competitor tools because key features are missing.
C0255,2026-05-06,"We've had repeated bugs in the reporting module, frustrating."
C0256,2026-02-27,Onboarding was smooth and the product fits our needs well.
C0256,2026-04-19,We're expanding usage across more departments this quarter.
C0257,2026-02-22,"Great support response time, issue resolved quickly."
C0257,2026-06-23,"The team loves the new dashboard, really improved our workflow."
C0258,2026-05-20,Pricing feels too high compared to the value we're getting.
C0258,2026-03-18,We're evaluating competitor tools because key features are missing.
C0258,2026-04-06,Pricing feels too high compared to the value we're getting.
C0259,2026-05-04,Pricing feels too high compared to the value we're getting.
C0259,2026-04-11,The platform is too complex for our team to adopt fully.
C0260,2026-01-07,Pricing feels too high compared to the value we're getting.
C0260,2026-05-25,"We've had repeated bugs in the reporting module, frustrating."
C0261,2026-06-05,"We've had repeated bugs in the reporting module, frustrating."
C0261,2026-05-10,We're evaluating competitor tools because key features are missing.
C0261,2026-05-19,We're evaluating competitor tools because key features are missing.
C0262,2026-03-19,Onboarding was smooth and the product fits our needs well.
C0262,2026-04-23,Onboarding was smooth and the product fits our needs well.
C0263,2026-05-17,"The team loves the new dashboard, really improved our workflow."
C0263,2026-02-28,We're expanding usage across more departments this quarter.
C0264,2026-01-23,"The team loves the new dashboard, really improved our workflow."
C0264,2026-01-28,Onboarding was smooth and the product fits our needs well.
C0265,2026-04-23,"We've had repeated bugs in the reporting module, frustrating."
C0265,2026-04-21,The platform is too complex for our team to adopt fully.
C0266,2026-04-14,We're expanding usage across more departments this quarter.
C0266,2026-06-06,"Great support response time, issue resolved quickly."
C0267,2026-03-27,We're expanding usage across more departments this quarter.
C0267,2026-02-10,We're expanding usage across more departments this quarter.
C0268,2026-01-21,"The team loves the new dashboard, really improved our workflow."
C0268,2026-02-24,"The team loves the new dashboard, really improved our workflow."
C0268,2026-06-14,We're expanding usage across more departments this quarter.
C0269,2026-04-26,We're expanding usage across more departments this quarter.
C0270,2026-05-06,We're expanding usage across more departments this quarter.
C0270,2026-05-14,We're expanding usage across more departments this quarter.
C0270,2026-04-12,We're expanding usage across more departments this quarter.
C0271,2026-05-16,"The team loves the new dashboard, really improved our workflow."
C0272,2026-04-18,Onboarding was smooth and the product fits our needs well.
C0272,2026-01-02,Onboarding was smooth and the product fits our needs well.
C0272,2026-06-12,We're expanding usage across more departments this quarter.
C0273,2026-02-24,"The team loves the new dashboard, really improved our workflow."
C0274,2026-04-17,Onboarding was smooth and the product fits our needs well.
C0274,2026-05-20,"The team loves the new dashboard, really improved our workflow."
C0274,2026-02-16,"The team loves the new dashboard, really improved our workflow."
C0275,2026-06-21,"The team loves the new dashboard, really improved our workflow."
C0275,2026-05-02,Onboarding was smooth and the product fits our needs well.
C0275,2026-05-25,Onboarding was smooth and the product fits our needs well.
C0276,2026-05-24,We're expanding usage across more departments this quarter.
C0277,2026-03-06,Onboarding was smooth and the product fits our needs well.
C0277,2026-06-20,"The team loves the new dashboard, really improved our workflow."
C0278,2026-01-21,Onboarding was smooth and the product fits our needs well.
C0278,2026-05-06,We're expanding usage across more departments this quarter.
C0278,2026-06-10,"The team loves the new dashboard, really improved our workflow."
C0279,2026-04-03,Onboarding was smooth and the product fits our needs well.
C0279,2026-05-03,"Great support response time, issue resolved quickly."
C0279,2026-03-05,Onboarding was smooth and the product fits our needs well.
C0280,2026-01-24,Onboarding was smooth and the product fits our needs well.
C0280,2026-05-06,"The team loves the new dashboard, really improved our workflow."
C0280,2026-06-15,"Great support response time, issue resolved quickly."
C0281,2026-06-08,Support has been slow to respond to our last three tickets.
C0281,2026-02-26,We're evaluating competitor tools because key features are missing.
C0282,2026-01-05,Support has been slow to respond to our last three tickets.
C0282,2026-02-27,The platform is too complex for our team to adopt fully.
C0282,2026-04-25,We're evaluating competitor tools because key features are missing.
C0283,2026-06-21,We're expanding usage across more departments this quarter.
C0283,2026-02-19,"Great support response time, issue resolved quickly."
C0284,2026-06-09,"The team loves the new dashboard, really improved our workflow."
C0284,2026-01-06,"The team loves the new dashboard, really improved our workflow."
C0284,2026-04-16,We're expanding usage across more departments this quarter.
C0285,2026-04-22,"Great support response time, issue resolved quickly."
C0285,2026-04-09,We're expanding usage across more departments this quarter.
C0286,2026-01-10,We're evaluating competitor tools because key features are missing.
C0287,2026-05-22,Onboarding was smooth and the product fits our needs well.
C0287,2026-01-18,"The team loves the new dashboard, really improved our workflow."
C0288,2026-05-21,We're expanding usage across more departments this quarter.
C0288,2026-03-09,Onboarding was smooth and the product fits our needs well.
C0288,2026-01-09,Onboarding was smooth and the product fits our needs well.
C0289,2026-06-24,We're expanding usage across more departments this quarter.
C0289,2026-06-22,"Great support response time, issue resolved quickly."
C0289,2026-05-11,"Great support response time, issue resolved quickly."
C0290,2026-03-18,"Great support response time, issue resolved quickly."
C0290,2026-06-01,"The team loves the new dashboard, really improved our workflow."
C0290,2026-01-14,"The team loves the new dashboard, really improved our workflow."
C0291,2026-03-08,We're evaluating competitor tools because key features are missing.
C0292,2026-01-01,"We've had repeated bugs in the reporting module, frustrating."
C0292,2026-01-02,The platform is too complex for our team to adopt fully.
C0292,2026-06-27,The platform is too complex for our team to adopt fully.
C0293,2026-06-04,Pricing feels too high compared to the value we're getting.
C0294,2026-04-22,"We've had repeated bugs in the reporting module, frustrating."
C0295,2026-01-23,"We've had repeated bugs in the reporting module, frustrating."
C0295,2026-03-10,"We've had repeated bugs in the reporting module, frustrating."
C0295,2026-06-03,We're evaluating competitor tools because key features are missing.
C0296,2026-04-23,Onboarding was smooth and the product fits our needs well.
C0296,2026-03-06,Onboarding was smooth and the product fits our needs well.
C0296,2026-03-25,"The team loves the new dashboard, really improved our workflow."
C0297,2026-01-09,Onboarding was smooth and the product fits our needs well.
C0298,2026-04-07,Pricing feels too high compared to the value we're getting.
C0298,2026-04-06,The platform is too complex for our team to adopt fully.
C0299,2026-05-25,"Great support response time, issue resolved quickly."
C0299,2026-02-20,We're expanding usage across more departments this quarter.
C0299,2026-04-23,"The team loves the new dashboard, really improved our workflow."
C0300,2026-01-19,Pricing feels too high compared to the value we're getting.
C0300,2026-04-01,Support has been slow to respond to our last three tickets.
